Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
104,48,0.63,249,278,5
103,48,0.63,196,228,11
100,44,0.61,241,273,7
99,46,0.6,223,245,9
98,47,0.6,232,258,14
82,37,0.5,281,244,6
78,32,0.48,272,227,18
72,31,0.44,275,222,26
128,62,0.78,222,325,4
107,49,0.65,215,259,1
100,46,0.61,251,286,13
96,44,0.59,236,249,24
86,36,0.52,280,267,15
76,33,0.46,271,226,25
74,32,0.45,277,227,31
64,29,0.39,302,242,30
100,47,0.61,214,240,16
99,47,0.6,244,272,20
99,45,0.6,223,247,2
93,43,0.57,202,210,10
90,38,0.55,246,260,3
84,36,0.51,292,270,23
83,37,0.51,237,211,21
107,50,0.65,227,289,19
101,46,0.62,261,289,29
93,43,0.57,230,249,8
86,39,0.52,223,213,22
81,35,0.49,254,225,17
80,35,0.49,251,199,27
79,35,0.48,274,232,12
71,31,0.43,263,202,28
105,49,0.64,239,259,5
100,47,0.61,250,272,7
98,42,0.6,243,251,6
97,45,0.59,230,242,14
97,44,0.59,244,248,26
83,36,0.51,256,228,9
80,35,0.49,296,264,11
77,34,0.47,268,231,18
113,54,0.69,236,296,4
112,50,0.68,214,270,1
105,49,0.64,232,277,13
96,44,0.59,246,248,15
73,30,0.45,255,217,31
71,29,0.43,264,209,24
67,28,0.41,291,221,30
62,25,0.38,280,199,25
117,53,0.71,211,267,16
114,52,0.7,218,277,20
101,45,0.62,232,253,21
95,43,0.58,237,257,3
94,44,0.57,222,226,2
92,42,0.56,225,235,10
76,33,0.46,256,229,23
109,51,0.66,228,272,8
101,44,0.62,216,235,27
100,45,0.61,229,252,29
98,45,0.6,203,239,28
84,37,0.51,248,218,19
78,36,0.48,263,234,12
73,31,0.45,264,218,17
70,29,0.43,256,208,22
118,55,0.72,182,263,5
111,50,0.68,234,282,7
108,50,0.66,195,249,14
102,48,0.62,220,256,18
94,41,0.57,242,241,11
88,39,0.54,236,219,6
87,36,0.53,236,215,9
70,28,0.43,244,183,26
103,47,0.63,200,226,24
98,44,0.6,214,212,30
95,44,0.58,212,234,1
95,40,0.58,242,251,13
94,42,0.57,227,234,4
81,35,0.49,237,210,15
79,33,0.48,244,207,31
78,33,0.48,237,201,25
109,50,0.66,213,244,23
106,49,0.65,208,266,21
99,46,0.6,218,235,2
94,41,0.57,224,240,16
87,40,0.53,256,249,20
79,34,0.48,262,223,10
48,22,0.29,278,166,3
105,46,0.64,200,223,27
103,47,0.63,212,247,12
99,46,0.6,201,221,29
94,45,0.57,221,226,19
86,39,0.52,205,201,28
70,30,0.43,260,197,22
69,30,0.42,243,182,17
105,49,0.64,239,259,4
100,47,0.61,250,272,9
98,42,0.6,243,251,22
97,45,0.59,230,242,13
97,44,0.59,244,248,29
83,36,0.51,256,228,11
80,35,0.49,296,264,5
77,34,0.47,268,231,26
113,54,0.69,236,296,1
112,50,0.68,214,270,3
105,49,0.64,232,277,7
96,44,0.59,246,248,19
73,30,0.45,255,217,28
71,29,0.43,264,209,14
67,28,0.41,291,221,31
62,25,0.38,280,199,27
117,53,0.71,211,267,8
114,52,0.7,218,277,10
101,45,0.62,232,253,21
95,43,0.58,237,257,17
94,44,0.57,222,226,12
92,42,0.56,225,235,15
76,33,0.46,256,229,20
109,51,0.66,228,272,16
101,44,0.62,216,235,24
100,45,0.61,229,252,6
98,45,0.6,203,239,30
84,37,0.51,248,218,2
78,36,0.48,263,234,25
73,31,0.45,264,218,23
70,29,0.43,256,208,18
118,55,0.72,182,263,4
111,50,0.68,234,282,9
108,50,0.66,195,249,13
102,48,0.62,220,256,26
94,41,0.57,242,241,5
88,39,0.54,236,219,22
87,36,0.53,236,215,11
70,28,0.43,244,183,29
103,47,0.63,200,226,14
98,44,0.6,214,212,31
95,44,0.58,212,234,3
95,40,0.58,242,251,7
94,42,0.57,227,234,1
81,35,0.49,237,210,19
79,33,0.48,244,207,28
78,33,0.48,237,201,27
109,50,0.66,213,244,20
106,49,0.65,208,266,21
99,46,0.6,218,235,12
94,41,0.57,224,240,8
87,40,0.53,256,249,10
79,34,0.48,262,223,15
48,22,0.29,278,166,17
105,46,0.64,200,223,24
103,47,0.63,212,247,25
99,46,0.6,201,221,6
94,45,0.57,221,226,2
