Points,Wins,Last 10 Rank,Post Season Finish
96,44,14.5,5
114,52,12.0,4
106,48,8.5,5
82,38,15.0,4
94,42,7.5,5
102,47,17.5,5
105,48,21.5,3
84,40,19.5,5
76,34,5.5,5
96,42,9.0,5
104,46,8.5,5
90,42,11.5,5
102,45,11.5,5
93,42,10.5,4
110,50,4.5,5
82,37,13.5,5
100,45,8.0,5
98,43,13.0,5
103,46,13.0,5
90,40,15.0,5
80,36,19.0,5
104,49,8.5,5
92,40,10.5,5
113,52,11.5,3
87,38,12.0,5
96,42,8.5,5
102,46,10.5,5
100,46,9.0,5
101,48,5.5,5
82,37,23.5,4
92,43,5.5,5
91,42,9.5,3
106,50,25.5,5
102,47,22.0,5
108,50,7.5,3
88,39,17.5,5
108,50,11.5,3
97,44,18,5
68,32,11.0,5
97,44,23.5,5
88,40,14.0,4
86,39,9.0,5
102,46,21.5,5
102,46,7.5,4
82,36,13.0,4
95,44,8.5,4
84,38,9.5,5
60,26,16.0,5
100,44,14.5,4
76,35,9.5,5
81,38,4.0,3
74,34,18.5,5
98,46,14.0,5
98,44,18.5,5
100,44,18.0,4
96,44,7.5,5
99,46,7.0,5
89,41,27.5,5
108,50,6.5,4
74,34,3.5,5
78,35,14.5,5
104,46,13.0,5
77,36,5.5,5
99,46,19.5,5
88,40,15.0,5
101,46,6.5,3
94,43,13.0,5
95,42,14.5,5
88,38,16.0,5
96,44,3.5,3
102,48,13.0,4
108,50,6.0,5
94,42,15.0,5
94,44,17.0,5
108,50,5.5,5
104,48,10.0,5
57,25,10.5,5
89,39,6.0,4
82,37,10.5,5
81,38,15.5,5
73,34,18.0,5
88,38,15.5,5
98,46,7.0,5
88,40,9.0,5
81,35,18.0,5
106,48,12.0,5
98,42,7.5,5
94,41,2.5,4
73,32,19.5,4
99,44,10.5,5
104,47,3.0,4
78,36,18.5,4
106,48,10.5,5
109,49,14.5,4
94,42,15.5,5
90,41,7.0,5
72,32,21.5,4
74,34,4.0,4
80,34,23.0,4
96,44,24.0,5
88,38,10.5,5
96,44,9.0,4
106,48,15.0,4
104,46,20.0,4
81,36,18.0,2
103,48,28.0,5
94,42,12.0,5
92,42,10.5,5
101,46,17.5,5
108,48,9.5,4
102,47,11.0,5
83,38,14.5,5
108,50,7.0,3
100,44,2.5,5
90,40,8,4
102,48,12.5,4
71,32,20.5,5
105,48,10.0,5
116,53,11.5,4
102,47,15.0,5
102,48,8.0,4
114,50,14.0,4
97,45,9.5,5
80,38,17.0,5
100,46,9.0,5
68,30,22.5,4
110,50,6.0,5
100,48,16.5,5
92,42,9.0,4
76,34,6.5,5
100,48,17.0,5
96,44,6.0,4
90,41,20.0,5
98,44,15.0,5
78,35,5.0,4
98,44,11.0,5
102,46,14.5,4
86,39,8.0,5
88,42,26.0,5
102,47,13.5,4
96,45,14.0,5
87,38,14.0,5
82,37,24.0,5
104,46,14.5,5
74,34,2.0,5
102,47,18.0,5
100,45,5.0,5
102,48,12.5,5
105,49,4.0,4
104,46,1.0,4
92,40,8.5,4
88,40,24.0,5
104,48,15.0,5
81,35,21.0,5
101,46,4.5,5
80,37,9.5,5
92,43,18.0,5
92,40,15.5,5
84,38,14.5,4
108,50,5.0,5
94,44,6.5,4
96,44,7.0,4
104,47,9.5,3
84,40,10.5,5
89,40,15.5,5
92,40,20.5,5
98,44,8.0,5
87,40,20.0,5
88,40,20.5,5
86,40,17.5,5
88,40,18.0,5
67,30,15.5,4
67,29,6.5,5
78,36,15.0,1
94,44,17.0,5
92,42,16.0,5
63,26,21.0,5
87,40,14.5,4
94,44,21.0,5
102,47,15.0,4
93,42,11.5,4
96,44,8.5,4
104,49,19.5,5
107,48,7.5,3
98,45,13.0,5
71,31,20.0,5
96,42,16.5,5
100,44,6.5,4
97,44,16.5,5
76,32,9.5,5
104,46,3.5,4
53,24,12.0,5
90,40,21.0,5
72,31,13.0,5
94,44,15.5,5
80,34,17.5,5
107,50,9.0,5
94,42,18.5,5
110,51,14.5,1
94,42,5.0,5
104,48,9.0,5
96,44,4.0,5
79,37,7.0,5
84,37,24.0,5
90,40,28.5,5
74,35,10.5,5
86,38,25.0,4
94,42,10.0,5
56,24,8,5
98,44,12.0,2
98,44,1.0,5
82,38,11.5,4
82,37,25.0,5
108,49,2.5,4
100,44,10.5,5
82,37,7.0,3
103,46,11,1
104,46,18.0,5
94,43,21.5,5
79,35,3.5,4
85,40,5.0,5
100,46,20.0,5
94,42,6.0,5
94,42,16.5,5
94,42,15.5,5
74,34,23.0,5
106,48,17.5,5
96,44,18.5,5
70,31,17.5,5
94,42,1.5,5
89,41,24.5,5
92,42,15.0,5
101,44,12.0,4
104,48,6.5,4
98,45,12.0,5
92,41,14.5,4
80,38,3.5,5
76,35,19.0,5
104,47,22.0,1
96,44,6.5,5
105,48,13.5,5
104,46,21.0,1
93,42,16.0,4
103,47,10.5,5
104,46,9.0,5
102,46,13.5,1
106,48,8.0,5
102,48,3.0,4
56,26,21.0,4
87,40,15.5,4
100,46,20.5,5
101,46,12.5,4
76,34,21.5,4
84,39,16.0,5
103,46,2.5,4
98,44,16.0,5
100,46,15.0,5
102,46,14.0,5
89,42,21.0,5
76,36,2.5,5
95,44,2.5,5
106,47,8.0,4
100,44,15.0,5
107,50,25.0,5
110,50,15.0,5
97,44,9.5,5
96,43,12.0,5
86,40,4.0,5
98,44,14.5,4
94,42,6.0,5
84,38,22.5,5
94,43,14.5,5
110,52,14.5,4
98,44,8.5,5
104,49,13.0,5
115,52,12.5,5
98,44,5.0,4
90,41,15.0,4
100,44,15.0,5
76,35,19.5,5
88,40,18.5,5
104,46,14.0,5
76,36,6.0,5
109,50,19.0,5
102,48,7.0,5
85,39,22.0,5
121,54,5.0,4
90,40,17.5,5
90,40,7.5,5
86,38,13.0,5
80,36,17.0,5
89,40,17.0,5
108,50,9.0,3
78,35,8.0,5
120,56,14.0,4
103,48,13.0,5
101,45,22.0,5
88,40,25.0,5
90,42,15.0,5
101,44,25.5,5
96,42,15.0,4
92,41,14.5,5
102,46,9.0,5
78,36,22.5,5
102,45,16.0,4
94,42,7.0,5
90,40,19.5,5
102,48,22.0,5
74,32,24.5,5
104,47,13.0,4
75,31,28.0,5
91,40,16.0,5
88,38,15.0,4
99,45,23.0,5
96,42,14.0,1
106,49,14.0,5
100,48,13.5,5
98,45,8.0,5
104,49,19.0,5
100,44,18.0,4
80,38,9.5,5
86,40,17.5,4
98,46,13.0,5
96,42,8.5,5
100,44,24.0,5
109,50,13.0,4
78,35,13.0,5
108,49,4.5,5
100,48,21.5,5
94,42,11.0,5
101,46,10.0,4
100,42,12.5,5
104,48,9.0,5
103,47,9.5,5
